algo_tag,algo,FND,HND,LND,func_life_pdr85,drop_p,total_p,pdr,drop_rate,timely_transfer_rate,energy_rate,energy_per_delivered,throughput_bits_per_round,avg_ch_per_round,avg_cluster_size,avg_hops_to_bs,malicious_delay,malicious_drop,blacklisted_malicious,blacklisted_normal,false_blacklist_events,control_overhead_bits,rounds_run,seed,ratio
TRAIL,TRAIL,790,985,5674,1339,11725,82975,0.8586923772220548,0.14130762277794517,0.9695298245614035,0.9320965858049354,0.0007013360283021792,50229.11526260134,2.5701445188579486,4.238978204144648,1.2582035087719299,1268,4643,20,0,0,36118200,5674,47,0.2
SHEER,SHEER,1294,1313,8393,300,14236,85411,0.8333235765884957,0.16667642341150435,0.9386582367404285,0.8821242933630478,0.0007021310228212106,33921.12474681282,1.9111164065292505,2.748258327517831,1.0,2405,9061,15,0,0,37383800,8393,48,0.2
ACTAR,ACTAR,844,949,5601,357,13395,83075,0.8387601564851038,0.16123984351489618,0.9341848450057405,0.8854257609567175,0.0007172470078356454,49762.542403142295,2.221031958578825,3.0977526044746178,1.6720579793340988,1705,11368,11,0,0,35355400,5601,48,0.2
TFSM_DPC,TFSM_DPC,628,1101,7510,300,11811,77321,0.8472471902846574,0.15275280971534255,0.9450312929323768,0.9005945677080982,0.0007570987133485262,34892.143808255656,1.9996005326231692,2.7767197037795066,1.8103953594871012,2105,8841,15,0,0,33887800,7510,48,0.2
DST_WOA,DST_WOA,599,1503,7039,1022,13941,87039,0.8398304208458277,0.1601695791541723,0.9586445593586692,0.9066966518797375,0.0006836505899288766,41538.854950987356,1.8167353317232562,4.6523819671354865,1.2606911269802183,1464,7450,18,0,0,37342600,7039,48,0.2
TRAIL,TRAIL,827,951,12191,976,10012,81143,0.8766128932871597,0.12338710671284026,0.9727826123631047,0.9447031701465913,0.000702477311801794,23338.856533508326,1.7071610204249037,2.2853596145587707,1.2539961479523696,3346,3688,20,0,0,36635800,12191,48,0.2
SHEER,SHEER,1269,1281,8172,320,13221,85454,0.8452851826713788,0.15471481732862125,0.9406365511608268,0.8969840273273791,0.0006917869466427611,35356.338717572195,1.8921928536465982,2.8837869729389576,1.0,2424,7830,16,0,0,36777000,8172,49,0.2
ACTAR,ACTAR,851,958,5008,300,13390,83192,0.8390470237522839,0.1609529762477161,0.9341136357124438,0.8838091130413774,0.0007159086144462045,55752.39616613418,2.374800319488818,3.2392465777699426,1.655095842526002,1587,11324,9,0,0,35365400,5008,49,0.2
TFSM_DPC,TFSM_DPC,607,1091,6872,1065,12328,78936,0.8438228438228438,0.15617715617715622,0.9468232044198895,0.9023643058140003,0.0007485897660271992,38770.66356228172,2.0606810244470313,3.1198998057627247,1.8157428537112659,1932,8371,15,0,0,33772200,6872,49,0.2
DST_WOA,DST_WOA,724,1426,7240,854,13199,86395,0.8472249551478673,0.15277504485213267,0.956008525056014,0.9147262253973625,0.0006828060598301721,40439.77900552486,1.7802486187845303,4.365803406998164,1.2459833870703316,1694,6773,18,0,0,36638800,7240,49,0.2
TRAIL,TRAIL,506,964,10100,1115,10600,81366,0.8697244549320355,0.13027554506796446,0.9705932227340813,0.9395991237299304,0.0007061044471443437,28026.138613861385,1.833960396039604,2.6467443822487,1.2358618545629256,2690,4032,20,0,0,35867800,10100,49,0.2
SHEER,SHEER,1306,1318,9900,342,12654,83489,0.8484351231898813,0.15156487681011865,0.9424295898920025,0.8973785522336006,0.000705461199948554,28620.20202020202,1.7586868686868686,2.407287277537277,1.0,2885,7777,13,0,0,36560400,9900,50,0.2
ACTAR,ACTAR,812,937,4871,300,13658,83172,0.8357860818544702,0.16421391814552977,0.9345743303507207,0.8843853474842852,0.0007189307971295118,57083.9663313488,2.3724081297474853,3.533573179369732,1.6427769945622464,1479,10362,10,0,0,35583200,4871,50,0.2
TFSM_DPC,TFSM_DPC,621,1087,7724,1137,11819,77580,0.8476540345449858,0.15234596545501422,0.9512324934231535,0.9050710124691695,0.0007598940662359315,34055.411703780424,1.922449508026929,2.8698459399830556,1.799105853013184,2088,8048,15,0,0,34005600,7724,50,0.2
DST_WOA,DST_WOA,690,1473,7227,1044,13374,85573,0.8437123859161184,0.1562876140838816,0.9486973503788141,0.9097934499173627,0.0006920956313911645,39960.70291960703,1.7791614777916147,4.488058668880591,1.2615271679663154,1644,7215,16,0,0,36675800,7227,50,0.2
TRAIL,TRAIL,761,953,11182,1060,10547,80984,0.8697643979057592,0.1302356020942408,0.9718613796726152,0.9412502868964756,0.0007094697151781345,25196.565909497407,1.7664103022715079,2.515145275796585,1.235912943481409,2994,3985,20,0,0,36373400,11182,50,0.2
SHEER,SHEER,1312,1325,11025,300,13222,81980,0.8387167601854111,0.16128323981458892,0.9396142994269757,0.888294326291517,0.0007268850209529318,24946.213151927437,1.7154648526077096,2.1395350394125896,1.0,3359,8297,11,0,0,36225400,11025,51,0.2
ACTAR,ACTAR,802,884,9658,850,12824,81625,0.8428912710566616,0.15710872894333838,0.9461054345140332,0.8972509226071783,0.0007263703884643797,28494.926485814867,1.6386415406916546,2.542292261131566,1.6356012267263558,2838,9521,14,0,0,35553000,9658,51,0.2
TFSM_DPC,TFSM_DPC,509,1114,10529,311,11598,75081,0.8455268310224957,0.1544731689775043,0.9497975836050596,0.9018061532186793,0.0007865110784803764,24117.390065533287,1.6844904549339919,2.338041510056827,1.7695130979947387,2977,7654,15,0,0,33511800,10529,51,0.2
DST_WOA,DST_WOA,624,1388,9666,922,13420,83595,0.8394640827800706,0.16053591721992944,0.9516494478090488,0.9048022414134325,0.0007120202223870589,29039.93378853714,1.5631078005379682,3.7842644320297936,1.2272176701104383,2414,7476,18,0,0,36482200,9666,51,0.2
TRAIL,TRAIL,449,933,15011,1165,10007,76284,0.8688191494939961,0.13118085050600392,0.9720566712434178,0.9426086874259563,0.0007538383825049873,17660.91532875891,1.5454000399706882,2.0823081586725496,1.2871131765167403,4149,3641,20,0,0,35163600,15011,51,0.2
SHEER,SHEER,1312,1325,7268,300,23481,90264,0.7398630683328902,0.2601369316671098,0.8791458904212149,0.8106316130378214,0.0007482506037316751,36754.54045129334,2.029719317556412,3.3693288584008174,1.0,2340,15162,18,0,0,39033000,7268,42,0.3
ACTAR,ACTAR,812,928,6214,300,22671,89216,0.7458863880918221,0.25411361190817794,0.8907055376061311,0.8190144867644973,0.0007510323336527168,42835.53266816865,1.9724814934019954,4.177187201454981,1.6289127657975806,1935,16800,19,0,0,37925400,6214,42,0.3
TFSM_DPC,TFSM_DPC,692,1199,4640,300,21761,85270,0.7447988741644189,0.2552011258355811,0.8935583932985875,0.8265355878616648,0.0007852304968211176,54749.137931034486,2.5,5.589724567852422,1.736431057015541,1391,15637,25,0,0,36425800,4640,42,0.3
